YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2024,3,IRELAND,EI,247019.80914,11746,FALSE
2024,3,ITALY,LI,1088560.7586,61392,FALSE
2024,3,KOSOVO,BK,13732.49416,957,FALSE
2024,3,LATVIA,EV,32347.43988,2451,FALSE
2024,3,LITHUANIA,EY,29808.02238,2355,FALSE
2024,3,LUXEMBOURG,EL,158166.41022,2845,FALSE
2024,3,MALTA,LM,37335.77172,2433,FALSE
2024,3,"MOLDOVA, REPUBLIC OF",LU,14586.57514,999,FALSE
2024,3,MONACO,LN,13.78392,26,FALSE
2024,3,MONTENEGRO,LY,5146.88792,650,FALSE
2024,3,NETHERLANDS,EH,832050.69258,25816,FALSE
2024,3,NORTH MACEDONIA,LW,10734.96346,842,FALSE
2024,3,NORWAY,EN,213436.0249,26045,TRUE
2024,3,POLAND,EP,292275.31328,18145,FALSE
2024,3,PORTUGAL,LP,432194.25924,18865,TRUE
2024,3,ROMANIA,LR,108844.53516,8132,FALSE
2024,3,SERBIA,LY,40131.11528,3257,FALSE
2024,3,SLOVAKIA,LZ,9038.97464,984,FALSE
2024,3,SLOVENIA,LJ,7091.63374,924,FALSE
2024,3,SPAIN,LE,1355904.59008,65436,FALSE
2024,3,SWEDEN,ES,190800.42236,16602,FALSE
2024,3,SWITZERLAND,LS,452608.98032,20267,FALSE
2024,3,TÜRKIYE,LT,1375960.59974,50059,FALSE
2024,3,UNITED KINGDOM,EG,2765837.67566,88520,TRUE
2024,4,ALBANIA,LA,38595.39944,2785,FALSE
2024,4,ARMENIA,UD,31137.97324,1452,FALSE
2024,4,AUSTRIA,LO,220846.61136,13400,FALSE
2024,4,BELGIUM,EB,451132.67002,13048,FALSE
2024,4,BOSNIA AND HERZEGOVINA,LQ,9424.79528,845,FALSE
2024,4,BULGARIA,LB,50832.31754,3294,FALSE
2024,4,CANARY ISLANDS,GC,310733.17912,18710,FALSE
2024,4,CROATIA,LD,51299.11146,5041,FALSE
2024,4,CYPRUS,LC,90742.01176,4132,FALSE
2024,4,CZECHIA,LK,89085.76484,6129,FALSE
2024,4,DENMARK,EK,230005.55208,14999,TRUE
2024,4,ESTONIA,EE,19155.34206,1896,FALSE
2024,4,FINLAND,EF,170296.60728,8097,FALSE
2024,4,FRANCE,LF,1735145.9478,74980,FALSE
2024,4,GEORGIA,UG,50579.18402,2308,FALSE
2024,4,GERMANY,ED,2305128.19088,84030,FALSE
2024,4,GREECE,LG,317859.81852,21603,FALSE
2024,4,HUNGARY,LH,106779.64102,5556,FALSE
2024,4,ICELAND,BI,36176.2949,1800,FALSE
2024,4,IRELAND,EI,270131.68656,12695,FALSE
2024,4,ITALY,LI,1304790.34538,74097,FALSE
2024,4,KOSOVO,BK,14969.36556,1049,FALSE
2024,4,LATVIA,EV,33715.586,2695,FALSE
2024,4,LITHUANIA,EY,35225.2704,2635,FALSE
2024,4,LUXEMBOURG,EL,152605.02108,3111,FALSE
2024,4,MALTA,LM,45824.27932,2988,FALSE
2024,4,"MOLDOVA, REPUBLIC OF",LU,15991.5498,1081,FALSE
2024,4,MONACO,LN,30.77208,51,FALSE
2024,4,MONTENEGRO,LY,9678.62708,1004,FALSE
2024,4,NETHERLANDS,EH,851787.53082,26612,FALSE
2024,4,NORTH MACEDONIA,LW,13086.8583,1021,FALSE
2024,4,NORWAY,EN,221898.73254,28567,TRUE
2024,4,POLAND,EP,293668.50014,20159,FALSE
2024,4,PORTUGAL,LP,475135.72596,21365,TRUE
2024,4,ROMANIA,LR,116665.42424,8575,FALSE
2024,4,SERBIA,LY,43760.24556,3420,FALSE
2024,4,SLOVAKIA,LZ,10684.77968,1209,FALSE
2024,4,SLOVENIA,LJ,7820.41742,1092,FALSE
2024,4,SPAIN,LE,1598538.543,79542,FALSE
2024,4,SWEDEN,ES,185916.95026,17018,FALSE
2024,4,SWITZERLAND,LS,463150.12982,19950,FALSE
